vf	x	y	z
v	-1.32E+01	4.12E+00	1.50E+00
v	-1.16E+01	4.51E+00	1.96E+00
v	-1.28E+01	4.59E+00	4.66E-01
v	-1.16E+01	5.03E+00	4.36E-01
v	-1.08E+01	5.01E+00	1.49E+00
v	-1.24E+01	3.95E+00	2.42E+00
v	-9.95E+00	5.74E+00	-3.11E-01
v	-9.20E+00	6.00E+00	4.13E-01
v	-1.10E+01	5.30E+00	-6.31E-01
v	-9.53E+00	5.34E+00	1.75E+00
v	-3.18E+00	-8.27E-01	4.95E+00
v	-3.18E+00	-1.92E+00	3.93E+00
v	-1.65E+00	-8.41E-01	4.96E+00
v	-3.96E+00	-1.31E+00	4.38E+00
v	-2.41E+00	-2.91E-01	5.24E+00
v	6.79E+00	-6.95E+00	1.50E+00
v	8.92E+00	-7.36E+00	2.67E+00
v	7.90E+00	-7.52E+00	1.48E+00
v	8.31E+00	-7.49E+00	1.99E+00
v	8.51E+00	-6.72E+00	3.28E+00
v	5.16E+00	-6.29E+00	4.64E-01
v	7.45E+00	-7.42E+00	4.76E-01
v	5.83E+00	-6.34E+00	1.70E+00
v	6.82E+00	-6.94E+00	-5.93E-01
v	-8.57E+00	4.26E+00	3.65E+00
v	-8.77E+00	3.17E+00	4.78E+00
v	-1.01E+01	2.90E+00	4.53E+00
v	-1.00E+01	3.87E+00	3.35E+00
v	-7.81E+00	3.87E+00	4.38E+00
v	-9.31E+00	2.43E+00	5.10E+00
v	-7.61E+00	4.89E+00	3.34E+00
v	-7.01E+00	5.55E+00	2.93E+00
v	-6.27E+00	5.11E+00	3.53E+00
v	-7.01E+00	3.42E+00	5.01E+00
v	-6.35E+00	4.08E+00	4.61E+00
v	-5.48E+00	5.73E+00	3.09E+00
v	-3.92E+00	5.90E+00	3.39E+00
v	-3.80E+00	4.95E+00	4.20E+00
v	-5.48E+00	4.70E+00	4.17E+00
v	-4.74E+00	6.33E+00	2.75E+00
v	-3.18E+00	5.53E+00	3.92E+00
v	-4.70E+00	4.25E+00	4.75E+00
v	2.95E+00	-2.18E+00	-5.28E+00
v	4.46E+00	-2.40E+00	-5.54E+00
v	3.67E+00	-1.52E+00	-5.79E+00
v	-2.42E+00	6.89E+00	-3.24E+00
v	-2.42E+00	5.61E+00	-4.08E+00
v	-8.64E-01	4.10E+00	-4.98E+00
v	-1.74E-01	4.87E+00	-4.51E+00
v	-1.32E+01	7.40E-01	-3.73E+00
v	-1.24E+01	-9.55E-01	-4.14E+00
v	-1.70E+01	7.16E-01	4.66E-01
v	-1.76E+01	-1.50E+00	4.77E-01
v	-1.69E+01	6.59E-01	-5.77E-01
v	-1.74E+01	-5.24E-01	-4.02E-01
v	-1.69E+01	6.20E-01	1.39E+00
v	-1.73E+01	-3.77E-01	1.23E+00
v	-1.76E+01	-1.47E+00	-5.51E-01
v	-1.73E+01	-1.57E+00	1.66E+00
v	-1.73E+01	-2.35E+00	-5.51E-01
v	-1.67E+01	-3.19E+00	-5.51E-01
v	-1.62E+01	-3.32E+00	5.10E-01
v	-1.65E+01	-2.75E+00	1.69E+00
v	-9.31E+00	-4.83E-01	4.93E+00
v	-9.31E+00	-1.90E+00	3.91E+00
v	-7.78E+00	-1.87E+00	3.89E+00
v	-7.77E+00	-4.80E-01	4.93E+00
v	-1.01E+01	-1.29E+00	4.40E+00
v	-8.54E+00	-2.36E+00	3.28E+00
v	-7.01E+00	-1.27E+00	4.36E+00
v	-8.55E+00	5.26E-02	5.15E+00
v	-1.16E+01	-1.32E+00	4.32E+00
v	-1.01E+01	7.16E-02	5.13E+00
v	-1.09E+01	6.96E-01	5.15E+00
v	-1.17E+01	7.20E-01	5.00E+00
v	-1.24E+01	-4.89E-01	4.64E+00
v	-1.08E+01	-1.92E+00	3.93E+00
v	-1.37E+01	1.57E+00	4.06E+00
v	-1.45E+01	4.99E-01	4.15E+00
v	-1.38E+01	-3.39E-01	4.45E+00
v	-1.31E+01	2.24E+00	3.92E+00
v	-1.24E+01	1.83E+00	4.56E+00
v	-6.25E+00	-4.85E-01	4.95E+00
v	-4.71E+00	-1.83E+00	3.84E+00
v	-4.71E+00	-7.46E-01	4.87E+00
v	-5.30E+00	-2.01E-01	5.14E+00
v	1.15E+01	-2.78E-01	3.60E+00
v	1.30E+01	-2.59E+00	3.65E+00
v	1.22E+01	-2.58E+00	4.47E+00
v	1.13E+01	-1.44E+00	4.43E+00
v	1.14E+01	-7.10E+00	3.56E+00
v	1.21E+01	-7.44E+00	2.96E+00
